season,date,match_name,result,h_odd,d_odd,a_odd
2020/2021,Unknown,Arsenal vs Brighton,2-0,-149.0,324.0,399.0
2020/2021,Unknown,Aston Villa vs Chelsea,2-1,597.0,388.0,-222.0
2020/2021,Unknown,Fulham vs Newcastle,0-2,150.0,244.0,189.0
2020/2021,Unknown,Leeds vs West Brom,3-1,-182.0,367.0,459.0
2020/2021,Unknown,Leicester vs Tottenham,2-4,-127.0,329.0,309.0
2020/2021,Unknown,Liverpool vs Crystal Palace,2-0,-625.0,769.0,1530.0
2020/2021,Unknown,Manchester City vs Everton,5-0,-333.0,509.0,877.0
2020/2021,Unknown,Sheffield Utd vs Burnley,1-0,181.0,250.0,152.0
2020/2021,Unknown,West Ham vs Southampton,3-0,-130.0,291.0,358.0
2020/2021,Unknown,Wolves vs Manchester Utd,1-2,134.0,229.0,225.0
2020/2021,Unknown,Burnley vs Liverpool,0-3,898.0,533.0,-345.0
2020/2021,Unknown,West Brom vs West Ham,1-3,411.0,330.0,-156.0
2020/2021,Unknown,Crystal Palace vs Arsenal,1-3,503.0,315.0,-169.0
2020/2021,Unknown,Everton vs Wolves,1-0,-125.0,269.0,378.0
2020/2021,Unknown,Newcastle vs Sheffield Utd,1-0,-115.0,275.0,329.0
2020/2021,Unknown,Tottenham vs Aston Villa,1-2,-159.0,349.0,408.0
2020/2021,Unknown,Chelsea vs Leicester,2-1,-145.0,286.0,443.0
2020/2021,Unknown,Brighton vs Manchester City,3-2,636.0,372.0,-222.0
2020/2021,Unknown,Manchester Utd vs Fulham,1-1,-333.0,487.0,911.0
2020/2021,Unknown,Southampton vs Leeds,0-2,165.0,284.0,150.0
2020/2021,Unknown,Everton vs Sheffield Utd,0-1,-278.0,411.0,827.0
2020/2021,Unknown,West Brom vs Liverpool,1-2,1186.0,623.0,-455.0
2020/2021,Unknown,Tottenham vs Wolves,2-0,-182.0,351.0,492.0
2020/2021,Unknown,Crystal Palace vs Aston Villa,3-2,209.0,254.0,131.0
2020/2021,Unknown,Brighton vs West Ham,1-1,250.0,258.0,112.0
2020/2021,Unknown,Southampton vs Fulham,3-1,-116.0,278.0,325.0
2020/2021,Unknown,Burnley vs Leeds,0-4,254.0,284.0,102.0
2020/2021,Unknown,Newcastle vs Manchester City,3-4,777.0,476.0,-303.0
2020/2021,Unknown,Manchester Utd vs Liverpool,2-4,179.0,279.0,141.0
2020/2021,Unknown,Aston Villa vs Everton,0-0,206.0,233.0,144.0
