season,match_name,result,h_odd,d_odd,a_odd,home_team,away_team,home_score,away_score,winner
2004,Birmingham vs Arsenal,2-1,301.0,240.0,-125.0,Birmingham,Arsenal,2,1,HOME_TEAM
2004,Bolton vs Everton,3-2,-118.0,234.0,298.0,Bolton,Everton,3,2,HOME_TEAM
2004,Charlton vs Crystal Palace,2-2,164.0,245.0,134.0,Charlton,Crystal Palace,2,2,DRAW
2004,Fulham vs Norwich,6-0,166.0,243.0,136.0,Fulham,Norwich,6,0,HOME_TEAM
2004,Liverpool vs Aston Villa,2-1,-159.0,241.0,433.0,Liverpool,Aston Villa,2,1,HOME_TEAM
2004,Manchester City vs Middlesbrough,1-1,102.0,217.0,252.0,Manchester City,Middlesbrough,1,1,DRAW
2004,Newcastle vs Chelsea,1-1,234.0,227.0,104.0,Newcastle,Chelsea,1,1,DRAW
2004,Southampton vs Manchester Utd,1-2,159.0,250.0,139.0,Southampton,Manchester Utd,1,2,AWAY_TEAM
2004,Tottenham vs Blackburn,0-0,-185.0,257.0,501.0,Tottenham,Blackburn,0,0,DRAW
2004,West Brom vs Portsmouth,2-0,-185.0,277.0,463.0,West Brom,Portsmouth,2,0,HOME_TEAM
2004,Arsenal vs Everton,7-0,-204.0,268.0,543.0,Arsenal,Everton,7,0,HOME_TEAM
2004,Manchester Utd vs Chelsea,1-3,112.0,215.0,231.0,Manchester Utd,Chelsea,1,3,AWAY_TEAM
2004,Arsenal vs Liverpool,3-1,-132.0,237.0,340.0,Arsenal,Liverpool,3,1,HOME_TEAM
2004,Manchester Utd vs West Brom,1-1,-333.0,373.0,858.0,Manchester Utd,West Brom,1,1,DRAW
2004,Aston Villa vs Manchester City,1-2,127.0,225.0,187.0,Aston Villa,Manchester City,1,2,AWAY_TEAM
2004,Blackburn vs Fulham,1-3,102.0,221.0,246.0,Blackburn,Fulham,1,3,AWAY_TEAM
2004,Chelsea vs Charlton,1-0,-312.0,343.0,807.0,Chelsea,Charlton,1,0,HOME_TEAM
2004,Crystal Palace vs Southampton,2-2,117.0,223.0,208.0,Crystal Palace,Southampton,2,2,DRAW
2004,Everton vs Newcastle,2-0,-141.0,234.0,375.0,Everton,Newcastle,2,0,HOME_TEAM
2004,Middlesbrough vs Tottenham,1-0,124.0,218.0,199.0,Middlesbrough,Tottenham,1,0,HOME_TEAM
2004,Norwich vs Birmingham,1-0,-116.0,239.0,277.0,Norwich,Birmingham,1,0,HOME_TEAM
2004,Portsmouth vs Bolton,1-1,177.0,225.0,134.0,Portsmouth,Bolton,1,1,DRAW
2004,Fulham vs Newcastle,1-3,118.0,218.0,214.0,Fulham,Newcastle,1,3,AWAY_TEAM
2004,West Brom vs Arsenal,0-2,458.0,256.0,-175.0,West Brom,Arsenal,0,2,AWAY_TEAM
2004,Charlton vs Manchester Utd,0-4,443.0,250.0,-167.0,Charlton,Manchester Utd,0,4,AWAY_TEAM
2004,Tottenham vs Aston Villa,5-1,-108.0,227.0,277.0,Tottenham,Aston Villa,5,1,HOME_TEAM
2004,Bolton vs Chelsea,0-2,270.0,229.0,-118.0,Bolton,Chelsea,0,2,AWAY_TEAM
2004,Birmingham vs Blackburn,2-1,112.0,221.0,225.0,Birmingham,Blackburn,2,1,HOME_TEAM
2004,Fulham vs Everton,2-0,166.0,220.0,149.0,Fulham,Everton,2,0,HOME_TEAM
2004,Liverpool vs Middlesbrough,1-1,-143.0,239.0,380.0,Liverpool,Middlesbrough,1,1,DRAW
2004,Manchester City vs Portsmouth,2-0,-132.0,233.0,348.0,Manchester City,Portsmouth,2,0,HOME_TEAM
2004,Newcastle vs Crystal Palace,0-0,-119.0,231.0,301.0,Newcastle,Crystal Palace,0,0,DRAW
2004,Southampton vs Norwich,4-3,102.0,229.0,239.0,Southampton,Norwich,4,3,HOME_TEAM
2004,Newcastle vs Middlesbrough,0-0,114.0,220.0,219.0,Newcastle,Middlesbrough,0,0,DRAW
2004,West Brom vs Blackburn,1-1,104.0,223.0,242.0,West Brom,Blackburn,1,1,DRAW
2004,Arsenal vs Tottenham,1-0,-213.0,271.0,603.0,Arsenal,Tottenham,1,0,HOME_TEAM
2004,Manchester Utd vs Newcastle,2-1,-294.0,333.0,771.0,Manchester Utd,Newcastle,2,1,HOME_TEAM
