season,date,match_name,result,h_odd,d_odd,a_odd,source_file
2004/2005,Unknown,Birmingham vs Arsenal,2-1,301.0,240.0,-125.0,2004-2005_full.csv
2004/2005,Unknown,Bolton vs Everton,3-2,-118.0,234.0,298.0,2004-2005_full.csv
2004/2005,Unknown,Charlton vs Crystal Palace,2-2,164.0,245.0,134.0,2004-2005_full.csv
2004/2005,Unknown,Fulham vs Norwich,6-0,166.0,243.0,136.0,2004-2005_full.csv
2004/2005,Unknown,Liverpool vs Aston Villa,2-1,-159.0,241.0,433.0,2004-2005_full.csv
2004/2005,Unknown,Manchester City vs Middlesbrough,1-1,102.0,217.0,252.0,2004-2005_full.csv
2004/2005,Unknown,Newcastle vs Chelsea,1-1,234.0,227.0,104.0,2004-2005_full.csv
2004/2005,Unknown,Southampton vs Manchester Utd,1-2,159.0,250.0,139.0,2004-2005_full.csv
2004/2005,Unknown,Tottenham vs Blackburn,0-0,-185.0,257.0,501.0,2004-2005_full.csv
2004/2005,Unknown,West Brom vs Portsmouth,2-0,-185.0,277.0,463.0,2004-2005_full.csv
2004/2005,Unknown,Arsenal vs Everton,7-0,-204.0,268.0,543.0,2004-2005_full.csv
2004/2005,Unknown,Manchester Utd vs Chelsea,1-3,112.0,215.0,231.0,2004-2005_full.csv
2004/2005,Unknown,Arsenal vs Liverpool,3-1,-132.0,237.0,340.0,2004-2005_full.csv
2004/2005,Unknown,Manchester Utd vs West Brom,1-1,-333.0,373.0,858.0,2004-2005_full.csv
2004/2005,Unknown,Aston Villa vs Manchester City,1-2,127.0,225.0,187.0,2004-2005_full.csv
2004/2005,Unknown,Blackburn vs Fulham,1-3,102.0,221.0,246.0,2004-2005_full.csv
2004/2005,Unknown,Chelsea vs Charlton,1-0,-312.0,343.0,807.0,2004-2005_full.csv
2004/2005,Unknown,Crystal Palace vs Southampton,2-2,117.0,223.0,208.0,2004-2005_full.csv
2004/2005,Unknown,Everton vs Newcastle,2-0,-141.0,234.0,375.0,2004-2005_full.csv
2004/2005,Unknown,Middlesbrough vs Tottenham,1-0,124.0,218.0,199.0,2004-2005_full.csv
2004/2005,Unknown,Norwich vs Birmingham,1-0,-116.0,239.0,277.0,2004-2005_full.csv
2004/2005,Unknown,Portsmouth vs Bolton,1-1,177.0,225.0,134.0,2004-2005_full.csv
2004/2005,Unknown,Fulham vs Newcastle,1-3,118.0,218.0,214.0,2004-2005_full.csv
2004/2005,Unknown,West Brom vs Arsenal,0-2,458.0,256.0,-175.0,2004-2005_full.csv
2004/2005,Unknown,Charlton vs Manchester Utd,0-4,443.0,250.0,-167.0,2004-2005_full.csv
2004/2005,Unknown,Tottenham vs Aston Villa,5-1,-108.0,227.0,277.0,2004-2005_full.csv
2004/2005,Unknown,Bolton vs Chelsea,0-2,270.0,229.0,-118.0,2004-2005_full.csv
2004/2005,Unknown,Birmingham vs Blackburn,2-1,112.0,221.0,225.0,2004-2005_full.csv
2004/2005,Unknown,Fulham vs Everton,2-0,166.0,220.0,149.0,2004-2005_full.csv
2004/2005,Unknown,Liverpool vs Middlesbrough,1-1,-143.0,239.0,380.0,2004-2005_full.csv
2004/2005,Unknown,Manchester City vs Portsmouth,2-0,-132.0,233.0,348.0,2004-2005_full.csv
2004/2005,Unknown,Newcastle vs Crystal Palace,0-0,-119.0,231.0,301.0,2004-2005_full.csv
2004/2005,Unknown,Southampton vs Norwich,4-3,102.0,229.0,239.0,2004-2005_full.csv
2004/2005,Unknown,Newcastle vs Middlesbrough,0-0,114.0,220.0,219.0,2004-2005_full.csv
2004/2005,Unknown,West Brom vs Blackburn,1-1,104.0,223.0,242.0,2004-2005_full.csv
2004/2005,Unknown,Arsenal vs Tottenham,1-0,-213.0,271.0,603.0,2004-2005_full.csv
2004/2005,Unknown,Manchester Utd vs Newcastle,2-1,-294.0,333.0,771.0,2004-2005_full.csv
2004/2005,Unknown,Portsmouth vs Southampton,4-1,122.0,218.0,208.0,2004-2005_full.csv
2004/2005,Unknown,Aston Villa vs Bolton,1-1,131.0,218.0,189.0,2004-2005_full.csv
2004/2005,Unknown,Blackburn vs Manchester City,0-0,127.0,218.0,198.0,2004-2005_full.csv
2004/2005,Unknown,Crystal Palace vs Liverpool,1-0,268.0,235.0,-109.0,2004-2005_full.csv
2004/2005,Unknown,Middlesbrough vs West Brom,4-0,-110.0,227.0,285.0,2004-2005_full.csv
2004/2005,Unknown,Norwich vs Charlton,1-0,114.0,231.0,211.0,2004-2005_full.csv
2004/2005,Unknown,Chelsea vs Fulham,3-1,-345.0,363.0,863.0,2004-2005_full.csv
2004/2005,Unknown,Everton vs Birmingham,1-1,-154.0,237.0,428.0,2004-2005_full.csv
2004/2005,Unknown,Blackburn vs Crystal Palace,1-0,-115.0,229.0,295.0,2004-2005_full.csv
2004/2005,Unknown,Chelsea vs Arsenal,0-0,102.0,216.0,254.0,2004-2005_full.csv
2004/2005,Unknown,Everton vs Manchester Utd,1-0,358.0,229.0,-132.0,2004-2005_full.csv
2004/2005,Unknown,Manchester City vs Birmingham,3-0,-104.0,223.0,269.0,2004-2005_full.csv
2004/2005,Unknown,Tottenham vs West Brom,1-1,-147.0,240.0,396.0,2004-2005_full.csv
2004/2005,Unknown,Aston Villa vs Charlton,0-0,-114.0,225.0,296.0,2004-2005_full.csv
2004/2005,Unknown,Norwich vs Newcastle,2-1,133.0,225.0,184.0,2004-2005_full.csv
2004/2005,Unknown,Portsmouth vs Liverpool,1-2,238.0,222.0,106.0,2004-2005_full.csv
2004/2005,Unknown,Bolton vs Southampton,1-1,-167.0,250.0,440.0,2004-2005_full.csv
2004/2005,Unknown,Middlesbrough vs Fulham,1-1,-123.0,225.0,332.0,2004-2005_full.csv
2004/2005,Unknown,Birmingham vs Portsmouth,0-0,-118.0,225.0,311.0,2004-2005_full.csv
2004/2005,Unknown,Charlton vs Bolton,1-2,154.0,216.0,159.0,2004-2005_full.csv
2004/2005,Unknown,Crystal Palace vs Norwich,3-3,-101.0,222.0,260.0,2004-2005_full.csv
2004/2005,Unknown,Fulham vs Manchester City,1-1,136.0,217.0,183.0,2004-2005_full.csv
2004/2005,Unknown,Liverpool vs Tottenham,2-2,-135.0,243.0,358.0,2004-2005_full.csv
2004/2005,Unknown,Southampton vs Aston Villa,2-3,108.0,221.0,233.0,2004-2005_full.csv
2004/2005,Unknown,Tottenham vs Newcastle,1-0,-103.0,221.0,268.0,2004-2005_full.csv
2004/2005,Unknown,Everton vs Crystal Palace,4-0,-154.0,239.0,426.0,2004-2005_full.csv
2004/2005,Unknown,Aston Villa vs West Brom,1-1,-114.0,225.0,304.0,2004-2005_full.csv
2004/2005,Unknown,Norwich vs Manchester Utd,2-0,739.0,324.0,-286.0,2004-2005_full.csv
2004/2005,Unknown,Blackburn vs Southampton,3-0,104.0,214.0,257.0,2004-2005_full.csv
2004/2005,Unknown,Bolton vs Fulham,3-1,-139.0,235.0,380.0,2004-2005_full.csv
2004/2005,Unknown,Chelsea vs Birmingham,1-1,-357.0,375.0,886.0,2004-2005_full.csv
2004/2005,Unknown,Manchester City vs Liverpool,1-0,175.0,214.0,144.0,2004-2005_full.csv
2004/2005,Unknown,Middlesbrough vs Arsenal,0-1,384.0,235.0,-143.0,2004-2005_full.csv
2004/2005,Unknown,Portsmouth vs Charlton,4-2,123.0,217.0,208.0,2004-2005_full.csv
2004/2005,Unknown,West Brom vs Everton,1-0,167.0,217.0,148.0,2004-2005_full.csv
2004/2005,Unknown,Fulham vs Portsmouth,3-1,106.0,217.0,246.0,2004-2005_full.csv
2004/2005,Unknown,Southampton vs Chelsea,1-3,503.0,249.0,-179.0,2004-2005_full.csv
2004/2005,Unknown,Arsenal vs Norwich,4-1,-556.0,473.0,899.0,2004-2005_full.csv
2004/2005,Unknown,Birmingham vs Tottenham,1-1,129.0,214.0,198.0,2004-2005_full.csv
2004/2005,Unknown,Crystal Palace vs Middlesbrough,0-1,140.0,217.0,177.0,2004-2005_full.csv
2004/2005,Unknown,Liverpool vs Bolton,1-0,-119.0,220.0,326.0,2004-2005_full.csv
2004/2005,Unknown,Manchester Utd vs Blackburn,0-0,-370.0,383.0,874.0,2004-2005_full.csv
2004/2005,Unknown,Newcastle vs Aston Villa,0-3,-154.0,240.0,436.0,2004-2005_full.csv
2004/2005,Unknown,Charlton vs Manchester City,2-2,112.0,217.0,229.0,2004-2005_full.csv
2004/2005,Unknown,Liverpool vs Everton,2-1,-122.0,216.0,343.0,2004-2005_full.csv
2004/2005,Unknown,Middlesbrough vs Southampton,1-3,104.0,218.0,247.0,2004-2005_full.csv
2004/2005,Unknown,Birmingham vs Aston Villa,2-0,129.0,202.0,206.0,2004-2005_full.csv
2004/2005,Unknown,Bolton vs Norwich,1-0,-182.0,252.0,505.0,2004-2005_full.csv
2004/2005,Unknown,Charlton vs West Brom,1-4,-147.0,238.0,403.0,2004-2005_full.csv
2004/2005,Unknown,Chelsea vs Crystal Palace,4-1,-526.0,465.0,899.0,2004-2005_full.csv
2004/2005,Unknown,Manchester Utd vs Fulham,1-0,-417.0,397.0,899.0,2004-2005_full.csv
2004/2005,Unknown,Portsmouth vs Newcastle,1-1,174.0,217.0,144.0,2004-2005_full.csv
2004/2005,Unknown,Tottenham vs Manchester City,2-1,-122.0,223.0,325.0,2004-2005_full.csv
2004/2005,Unknown,Blackburn vs Arsenal,0-1,323.0,229.0,-122.0,2004-2005_full.csv
2004/2005,Unknown,Charlton vs Tottenham,2-0,139.0,218.0,177.0,2004-2005_full.csv
2004/2005,Unknown,Liverpool vs Blackburn,0-0,-189.0,252.0,533.0,2004-2005_full.csv
2004/2005,Unknown,Chelsea vs West Brom,1-0,-667.0,514.0,899.0,2004-2005_full.csv
2004/2005,Unknown,Manchester City vs Bolton,0-1,135.0,215.0,187.0,2004-2005_full.csv
2004/2005,Unknown,Everton vs Blackburn,0-1,-132.0,231.0,363.0,2004-2005_full.csv
2004/2005,Unknown,West Brom vs Birmingham,2-0,167.0,211.0,154.0,2004-2005_full.csv
2004/2005,Unknown,Norwich vs Chelsea,1-3,695.0,305.0,-256.0,2004-2005_full.csv
2004/2005,Unknown,Newcastle vs Liverpool,1-0,137.0,216.0,186.0,2004-2005_full.csv
2004/2005,Unknown,Southampton vs Tottenham,1-0,147.0,217.0,174.0,2004-2005_full.csv
2004/2005,Unknown,Arsenal vs Portsmouth,3-0,-294.0,334.0,794.0,2004-2005_full.csv
2004/2005,Unknown,Crystal Palace vs Manchester Utd,0-0,624.0,283.0,-222.0,2004-2005_full.csv
2004/2005,Unknown,Fulham vs Charlton,0-0,125.0,219.0,202.0,2004-2005_full.csv
2004/2005,Unknown,Aston Villa vs Middlesbrough,2-0,127.0,219.0,200.0,2004-2005_full.csv
2004/2005,Unknown,Norwich vs Manchester City,2-3,166.0,211.0,162.0,2004-2005_full.csv
2004/2005,Unknown,Middlesbrough vs Charlton,2-2,-110.0,221.0,296.0,2004-2005_full.csv
2004/2005,Unknown,Newcastle vs Bolton,2-1,-110.0,225.0,286.0,2004-2005_full.csv
2004/2005,Unknown,Manchester Utd vs Portsmouth,2-1,-476.0,436.0,899.0,2004-2005_full.csv
2004/2005,Unknown,Aston Villa vs Everton,1-3,116.0,218.0,222.0,2004-2005_full.csv
2004/2005,Unknown,Crystal Palace vs Birmingham,2-0,158.0,216.0,162.0,2004-2005_full.csv
2004/2005,Unknown,Tottenham vs Fulham,2-0,-119.0,224.0,325.0,2004-2005_full.csv
2004/2005,Unknown,Southampton vs Arsenal,1-1,461.0,254.0,-169.0,2004-2005_full.csv
2004/2005,Unknown,West Brom vs Southampton,0-0,131.0,217.0,195.0,2004-2005_full.csv
2004/2005,Unknown,Arsenal vs Crystal Palace,5-1,-500.0,442.0,899.0,2004-2005_full.csv
2004/2005,Unknown,Manchester City vs Manchester Utd,0-2,359.0,231.0,-132.0,2004-2005_full.csv
2004/2005,Unknown,Bolton vs Middlesbrough,0-0,104.0,220.0,250.0,2004-2005_full.csv
2004/2005,Unknown,Birmingham vs Liverpool,2-0,214.0,220.0,119.0,2004-2005_full.csv
2004/2005,Unknown,Blackburn vs Norwich,3-0,-135.0,229.0,375.0,2004-2005_full.csv
2004/2005,Unknown,Portsmouth vs Aston Villa,1-2,127.0,218.0,200.0,2004-2005_full.csv
2004/2005,Unknown,Everton vs Chelsea,0-1,337.0,225.0,-123.0,2004-2005_full.csv
2004/2005,Unknown,Chelsea vs Manchester City,0-0,-400.0,421.0,866.0,2004-2005_full.csv
2004/2005,Unknown,Southampton vs Everton,2-2,152.0,217.0,165.0,2004-2005_full.csv
2004/2005,Unknown,Aston Villa vs Arsenal,1-3,305.0,235.0,-118.0,2004-2005_full.csv
2004/2005,Unknown,Liverpool vs Fulham,3-1,-222.0,284.0,652.0,2004-2005_full.csv
2004/2005,Unknown,Manchester Utd vs Birmingham,2-0,-400.0,413.0,877.0,2004-2005_full.csv
2004/2005,Unknown,Middlesbrough vs Blackburn,1-0,100.0,211.0,272.0,2004-2005_full.csv
2004/2005,Unknown,Newcastle vs Charlton,1-1,-128.0,235.0,343.0,2004-2005_full.csv
2004/2005,Unknown,Norwich vs West Brom,3-2,125.0,217.0,206.0,2004-2005_full.csv
2004/2005,Unknown,Tottenham vs Portsmouth,3-1,-141.0,239.0,378.0,2004-2005_full.csv
2004/2005,Unknown,Crystal Palace vs Bolton,0-1,156.0,219.0,158.0,2004-2005_full.csv
2004/2005,Unknown,Blackburn vs Chelsea,0-1,567.0,281.0,-208.0,2004-2005_full.csv
2004/2005,Unknown,Everton vs Norwich,1-0,-182.0,259.0,526.0,2004-2005_full.csv
2004/2005,Unknown,Birmingham vs Southampton,2-1,-112.0,224.0,296.0,2004-2005_full.csv
2004/2005,Unknown,Fulham vs Aston Villa,1-1,129.0,216.0,196.0,2004-2005_full.csv
2004/2005,Unknown,Manchester City vs Newcastle,1-1,135.0,217.0,188.0,2004-2005_full.csv
2004/2005,Unknown,Arsenal vs Manchester Utd,2-4,129.0,214.0,206.0,2004-2005_full.csv
2004/2005,Unknown,Bolton vs Tottenham,3-1,120.0,221.0,209.0,2004-2005_full.csv
2004/2005,Unknown,Charlton vs Liverpool,1-2,181.0,220.0,136.0,2004-2005_full.csv
