season,match_name,h_odd,d_odd,a_odd,home_team,away_team,home_score,away_score,winner
2004,Birmingham vs Arsenal,4.01,3.4,1.8,Birmingham,Arsenal,2,1,HOME_TEAM
2004,Bolton vs Everton,1.85,3.34,3.98,Bolton,Everton,3,2,HOME_TEAM
2004,Charlton vs Crystal Palace,2.64,3.45,2.34,Charlton,Crystal Palace,2,2,DRAW
2004,Fulham vs Norwich,2.66,3.43,2.36,Fulham,Norwich,6,0,HOME_TEAM
2004,Liverpool vs Aston Villa,1.63,3.41,5.33,Liverpool,Aston Villa,2,1,HOME_TEAM
2004,Manchester City vs Middlesbrough,2.02,3.17,3.52,Manchester City,Middlesbrough,1,1,DRAW
2004,Newcastle vs Chelsea,3.34,3.27,2.04,Newcastle,Chelsea,1,1,DRAW
2004,Southampton vs Manchester Utd,2.59,3.5,2.39,Southampton,Manchester Utd,1,2,AWAY_TEAM
2004,Tottenham vs Blackburn,1.54,3.57,6.01,Tottenham,Blackburn,0,0,DRAW
2004,West Brom vs Portsmouth,1.54,3.77,5.63,West Brom,Portsmouth,2,0,HOME_TEAM
2004,Arsenal vs Everton,1.49,3.68,6.43,Arsenal,Everton,7,0,HOME_TEAM
2004,Manchester Utd vs Chelsea,2.12,3.15,3.31,Manchester Utd,Chelsea,1,3,AWAY_TEAM
2004,Arsenal vs Liverpool,1.76,3.37,4.4,Arsenal,Liverpool,3,1,HOME_TEAM
2004,Manchester Utd vs West Brom,1.3,4.73,9.58,Manchester Utd,West Brom,1,1,DRAW
2004,Aston Villa vs Manchester City,2.27,3.25,2.87,Aston Villa,Manchester City,1,2,AWAY_TEAM
2004,Blackburn vs Fulham,2.02,3.21,3.46,Blackburn,Fulham,1,3,AWAY_TEAM
2004,Chelsea vs Charlton,1.32,4.43,9.07,Chelsea,Charlton,1,0,HOME_TEAM
2004,Crystal Palace vs Southampton,2.17,3.23,3.08,Crystal Palace,Southampton,2,2,DRAW
2004,Everton vs Newcastle,1.71,3.34,4.75,Everton,Newcastle,2,0,HOME_TEAM
2004,Middlesbrough vs Tottenham,2.24,3.18,2.99,Middlesbrough,Tottenham,1,0,HOME_TEAM
2004,Norwich vs Birmingham,1.86,3.39,3.77,Norwich,Birmingham,1,0,HOME_TEAM
2004,Portsmouth vs Bolton,2.77,3.25,2.34,Portsmouth,Bolton,1,1,DRAW
2004,Fulham vs Newcastle,2.18,3.18,3.14,Fulham,Newcastle,1,3,AWAY_TEAM
2004,West Brom vs Arsenal,5.58,3.56,1.57,West Brom,Arsenal,0,2,AWAY_TEAM
2004,Charlton vs Manchester Utd,5.43,3.5,1.6,Charlton,Manchester Utd,0,4,AWAY_TEAM
2004,Tottenham vs Aston Villa,1.93,3.27,3.77,Tottenham,Aston Villa,5,1,HOME_TEAM
2004,Bolton vs Chelsea,3.7,3.29,1.85,Bolton,Chelsea,0,2,AWAY_TEAM
2004,Birmingham vs Blackburn,2.12,3.21,3.25,Birmingham,Blackburn,2,1,HOME_TEAM
2004,Fulham vs Everton,2.66,3.2,2.49,Fulham,Everton,2,0,HOME_TEAM
