,season,match_name,home_team,away_team,winner,home_score,away_score,h_odd,d_odd,a_odd,h_match_points,ht_points,ht_goals,ht_goals_sf,ht_wins,ht_draws,ht_losses,ht_win_streak,ht_draw_streak,ht_loss_streak,a_match_points,at_points,at_goals,at_goals_sf,at_wins,at_draws,at_losses,at_win_streak,at_draw_streak,at_loss_streak,ls_winner
0,2004,Birmingham vs Arsenal,Birmingham,Arsenal,HOME_TEAM,2,1,4.01,3.4,1.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN
1,2004,Bolton vs Everton,Bolton,Everton,HOME_TEAM,3,2,1.85,3.34,3.98,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN
2,2004,Charlton vs Crystal Palace,Charlton,Crystal Palace,DRAW,2,2,2.64,3.45,2.34,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,UNKNOWN
3,2004,Fulham vs Norwich,Fulham,Norwich,HOME_TEAM,6,0,2.66,3.43,2.36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN
4,2004,Liverpool vs Aston Villa,Liverpool,Aston Villa,HOME_TEAM,2,1,1.63,3.41,5.33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN
5,2004,Manchester City vs Middlesbrough,Manchester City,Middlesbrough,DRAW,1,1,2.02,3.17,3.52,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,UNKNOWN
6,2004,Newcastle vs Chelsea,Newcastle,Chelsea,DRAW,1,1,3.34,3.27,2.04,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,UNKNOWN
7,2004,Southampton vs Manchester Utd,Southampton,Manchester Utd,AWAY_TEAM,1,2,2.59,3.5,2.39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,UNKNOWN
8,2004,Tottenham vs Blackburn,Tottenham,Blackburn,DRAW,0,0,1.54,3.57,6.01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,UNKNOWN
9,2004,West Brom vs Portsmouth,West Brom,Portsmouth,HOME_TEAM,2,0,1.54,3.77,5.63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN
10,2004,Arsenal vs Everton,Arsenal,Everton,HOME_TEAM,7,0,1.49,3.68,6.43,3,0,1,2,0,0,1,0,0,1,0,0,2,3,0,0,1,0,0,1,UNKNOWN
11,2004,Manchester Utd vs Chelsea,Manchester Utd,Chelsea,AWAY_TEAM,1,3,2.12,3.15,3.31,0,3,2,1,1,0,0,1,0,0,3,1,1,1,0,1,0,0,1,0,UNKNOWN
12,2004,Arsenal vs Liverpool,Arsenal,Liverpool,HOME_TEAM,3,1,1.76,3.37,4.4,3,3,8,2,1,0,1,1,0,0,0,3,2,1,1,0,0,1,0,0,UNKNOWN
13,2004,Manchester Utd vs West Brom,Manchester Utd,West Brom,DRAW,1,1,1.3,4.73,9.58,1,3,3,4,1,0,1,0,0,1,1,3,2,0,1,0,0,1,0,0,UNKNOWN
14,2004,Aston Villa vs Manchester City,Aston Villa,Manchester City,AWAY_TEAM,1,2,2.27,3.25,2.87,0,0,1,2,0,0,1,0,0,1,3,1,1,1,0,1,0,0,1,0,UNKNOWN
15,2004,Blackburn vs Fulham,Blackburn,Fulham,AWAY_TEAM,1,3,2.02,3.21,3.46,0,1,0,0,0,1,0,0,1,0,3,3,6,0,1,0,0,1,0,0,UNKNOWN
16,2004,Chelsea vs Charlton,Chelsea,Charlton,HOME_TEAM,1,0,1.32,4.43,9.07,3,4,4,2,1,1,0,1,0,0,0,1,2,2,0,1,0,0,1,0,UNKNOWN
17,2004,Crystal Palace vs Southampton,Crystal Palace,Southampton,DRAW,2,2,2.17,3.23,3.08,1,1,2,2,0,1,0,0,1,0,1,0,1,2,0,0,1,0,0,1,UNKNOWN
18,2004,Everton vs Newcastle,Everton,Newcastle,HOME_TEAM,2,0,1.71,3.34,4.75,3,0,2,10,0,0,2,0,0,2,0,1,1,1,0,1,0,0,1,0,UNKNOWN
19,2004,Middlesbrough vs Tottenham,Middlesbrough,Tottenham,HOME_TEAM,1,0,2.24,3.18,2.99,3,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,UNKNOWN
20,2004,Norwich vs Birmingham,Norwich,Birmingham,HOME_TEAM,1,0,1.86,3.39,3.77,3,0,0,6,0,0,1,0,0,1,0,3,2,1,1,0,0,1,0,0,UNKNOWN
21,2004,Portsmouth vs Bolton,Portsmouth,Bolton,DRAW,1,1,2.77,3.25,2.34,1,0,0,2,0,0,1,0,0,1,1,3,3,2,1,0,0,1,0,0,UNKNOWN
22,2004,Fulham vs Newcastle,Fulham,Newcastle,AWAY_TEAM,1,3,2.18,3.18,3.14,0,6,9,1,2,0,0,2,0,0,3,1,1,3,0,1,1,0,0,1,UNKNOWN
23,2004,West Brom vs Arsenal,West Brom,Arsenal,AWAY_TEAM,0,2,5.58,3.56,1.57,0,4,3,1,1,1,0,0,1,0,3,6,11,3,2,0,1,2,0,0,UNKNOWN
24,2004,Charlton vs Manchester Utd,Charlton,Manchester Utd,AWAY_TEAM,0,4,5.43,3.5,1.6,0,1,2,3,0,1,1,0,0,1,3,4,4,5,1,1,1,0,1,0,UNKNOWN
25,2004,Tottenham vs Aston Villa,Tottenham,Aston Villa,HOME_TEAM,5,1,1.93,3.27,3.77,3,1,0,1,0,1,1,0,0,1,0,0,2,4,0,0,2,0,0,2,UNKNOWN
26,2004,Bolton vs Chelsea,Bolton,Chelsea,AWAY_TEAM,0,2,3.7,3.29,1.85,0,4,4,3,1,1,0,0,1,0,3,7,5,2,2,1,0,2,0,0,UNKNOWN
27,2004,Birmingham vs Blackburn,Birmingham,Blackburn,HOME_TEAM,2,1,2.12,3.21,3.25,3,3,2,2,1,0,1,0,0,1,0,1,1,3,0,1,1,0,0,1,UNKNOWN
28,2004,Fulham vs Everton,Fulham,Everton,HOME_TEAM,2,0,2.66,3.2,2.49,3,6,10,4,2,0,1,0,0,1,0,3,4,10,1,0,2,1,0,0,UNKNOWN
29,2004,Liverpool vs Middlesbrough,Liverpool,Middlesbrough,DRAW,1,1,1.7,3.39,4.8,1,3,3,4,1,0,1,0,0,1,1,4,2,1,1,1,0,1,0,0,UNKNOWN
30,2004,Manchester City vs Portsmouth,Manchester City,Portsmouth,HOME_TEAM,2,0,1.76,3.33,4.48,3,4,3,2,1,1,0,1,0,0,0,1,1,3,0,1,1,0,1,0,UNKNOWN
31,2004,Newcastle vs Crystal Palace,Newcastle,Crystal Palace,DRAW,0,0,1.84,3.31,4.01,1,4,4,4,1,1,1,1,0,0,1,2,4,4,0,2,0,0,2,0,UNKNOWN
32,2004,Southampton vs Norwich,Southampton,Norwich,HOME_TEAM,4,3,2.02,3.29,3.39,3,1,3,4,0,1,1,0,1,0,0,3,1,6,1,0,1,1,0,0,UNKNOWN
33,2004,Newcastle vs Middlesbrough,Newcastle,Middlesbrough,DRAW,0,0,2.14,3.2,3.19,1,5,4,4,1,2,1,0,1,0,1,5,3,2,1,2,0,0,1,0,UNKNOWN
34,2004,West Brom vs Blackburn,West Brom,Blackburn,DRAW,1,1,2.04,3.23,3.42,1,4,3,3,1,1,1,0,0,1,1,1,2,5,0,1,2,0,0,2,UNKNOWN
35,2004,Arsenal vs Tottenham,Arsenal,Tottenham,HOME_TEAM,1,0,1.47,3.71,7.03,3,9,13,3,3,0,1,3,0,0,0,4,5,2,1,1,1,1,0,0,UNKNOWN
36,2004,Manchester Utd vs Newcastle,Manchester Utd,Newcastle,HOME_TEAM,2,1,1.34,4.33,8.71,3,7,8,5,2,1,1,1,0,0,0,6,4,4,1,3,1,0,2,0,UNKNOWN
